"","State","Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2016-2020","Foreign born persons, percent, 2016-2020","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2016-2020","Median value of owner-occupied housing units, 2016-2020","Median selected monthly owner costs -with a mortgage, 2016-2020","Median selected monthly owner costs -without a mortgage, 2016-2020","Median gross rent, 2016-2020","Building permits, 2020","Households, 2016-2020","Persons per household, 2016-2020","Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","Households with a computer, percent, 2016-2020","Households with a broadband Internet subscription, percent, 2016-2020","High school graduate or higher, percent of persons age 25 years+, 2016-2020","Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","With a disability, under age 65 years, percent, 2016-2020","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2016-2020","In civilian labor force, female, percent of population age 16 years+, 2016-2020","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2016-2020","Median household income (in 2020 dollars), 2016-2020","Per capita income in past 12 months (in 2020 dollars), 2016-2020","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010","FIPS Code","NA","NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","NA","Value Notes","None","NA","Fact Notes","(a)","(c)","(b)","NA","Value Flags","-","F","D","N","FN","X","S","NA","Z"
"1","Colorado","5,812,069","5,773,714","0.7%","5,773,714","5,029,196","5.8%","21.9%","14.6%","49.6%","86.9%","4.6%","1.6%","3.5%","0.2%","3.1%","21.8%","67.7%","370,677","9.5%","2,464,164","66.2%","$369,900","$1,808","$488","$1,335","40,469","2,137,402","2.60","82.4%","16.4%","94.9%","89.6%","92.1%","41.6%","7.4%","9.3%","67.4%","62.7%","13,617,654","29,488,161","50,447,098","67,815,200","$13,073","25.8","$75,231","$39,545","9.0%","174,258","2,473,192","142,461,322","2.0%","535,299","547,352","284,554","194,508","85,849","442,365","51,722","469,524","48.5","103,641.89","""08""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","California","39,237,836","39,538,223","-0.8%","39,538,223","37,253,956","6.0%","22.5%","14.8%","50.3%","71.9%","6.5%","1.6%","15.5%","0.5%","4.0%","39.4%","36.5%","1,525,746","26.6%","14,366,336","55.3%","$538,500","$2,422","$618","$1,586","106,075","13,103,114","2.94","87.6%","43.9%","94.3%","88.9%","83.9%","34.7%","6.8%","8.9%","63.3%","57.7%","90,830,372","248,953,592","512,303,164","481,800,461","$12,665","29.8","$78,672","$38,576","11.5%","966,224","15,516,824","1,077,175,621","1.9%","3,453,769","3,548,449","1,852,580","1,320,085","1,619,857","1,819,107","252,377","3,176,341","239.1","155,779.22","""06""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Arkansas","3,025,891","3,011,524","0.5%","3,011,524","2,915,918","6.2%","23.2%","17.4%","50.9%","79.0%","15.7%","1.0%","1.7%","0.4%","2.2%","7.8%","72.0%","191,786","4.9%","1,389,129","65.8%","$133,600","$1,103","$353","$760","12,493","1,170,544","2.50","85.4%","7.6%","88.2%","77.0%","87.2%","23.8%","12.9%","10.9%","57.8%","53.9%","4,307,264","15,792,628","62,712,925","36,815,256","$12,483","21.8","$49,475","$27,724","15.2%","67,243","1,053,453","46,259,546","1.0%","209,179","231,959","123,158","75,962","35,982","189,029","25,915","192,988","56.0","52,035.48","""05""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Alabama","5,039,877","5,024,279","0.3%","5,024,279","4,779,736","6.0%","22.2%","17.3%","51.7%","69.1%","26.8%","0.7%","1.5%","0.1%","1.8%","4.6%","65.3%","324,857","3.4%","2,284,847","69.2%","$149,600","$1,196","$367","$811","19,982","1,888,504","2.53","86.8%","5.3%","87.9%","79.9%","86.9%","26.2%","11.5%","11.7%","57.2%","52.5%","7,576,462","26,039,632","124,809,759","58,564,965","$12,145","25.2","$52,035","$28,934","14.9%","100,731","1,758,609","79,548,202","1.6%","336,445","374,153","203,604","137,630","92,219","272,651","41,943","316,984","94.4","50,645.33","""01""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alaska","732,673","733,391","-0.1%","733,391","710,231","7.0%","24.6%","12.5%","47.9%","65.3%","3.7%","15.6%","6.5%","1.4%","7.5%","7.3%","60.2%","64,765","7.8%","319,854","64.8%","$275,600","$1,937","$591","$1,240","1,420","255,173","2.78","82.7%","15.8%","95.0%","87.3%","93.1%","30.0%","8.9%","13.9%","64.2%","62.7%","2,221,335","6,375,483","D","10,474,275","$14,320","18.9","$77,790","$37,094","9.6%","21,399","264,971","16,571,790","1.5%","57,391","68,032","35,402","22,141","13,688","51,147","7,953","56,091","1.2","570,640.95","""02""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Arizona","7,276,316","7,151,502","1.7%","7,151,502","6,392,017","5.9%","22.5%","18.0%","50.3%","82.6%","5.2%","5.3%","3.7%","0.3%","2.9%","31.7%","54.1%","491,239","13.2%","3,075,981","65.3%","$242,000","$1,464","$430","$1,097","60,342","2,643,430","2.65","83.0%","26.7%","93.3%","86.6%","87.9%","30.3%","8.9%","13.6%","59.7%","55.1%","13,996,635","37,055,881","51,243,473","84,716,542","$12,927","25.8","$61,529","$32,340","12.8%","147,163","2,614,641","129,707,807","2.6%","502,593","499,926","245,243","182,425","135,313","344,981","46,780","427,582","56.3","113,594.08","""04""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Idaho","1,900,923","1,839,106","3.4%","1,839,106","1,567,582","6.5%","25.1%","16.3%","49.9%","93.0%","0.9%","1.7%","1.6%","0.2%","2.6%","12.8%","81.6%","115,549","5.9%","751,105","70.8%","$235,600","$1,312","$388","$887","19,130","649,299","2.66","83.2%","10.8%","93.2%","86.0%","91.3%","28.7%","9.5%","12.8%","62.8%","57.0%","2,680,225","7,895,614","20,201,432","20,444,278","$12,812","21.2","$58,915","$29,494","10.1%","50,547","616,778","26,955,259","3.2%","135,986","146,642","70,438","45,121","10,592","130,973","12,804","124,314","19.0","82,643.12","""16""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Hawaii","1,441,553","1,455,271","-0.9%","1,455,271","1,360,301","6.0%","21.2%","19.0%","50.0%","25.5%","2.2%","0.4%","37.6%","10.1%","24.2%","10.7%","21.7%","97,478","18.3%","550,273","60.3%","$636,400","$2,443","$540","$1,651","3,164","467,932","2.94","86.8%","26.1%","92.7%","87.1%","92.5%","33.6%","6.4%","5.0%","61.5%","59.8%","9,536,706","8,136,947","D","18,901,745","$13,576","27.1","$83,173","$37,013","8.9%","32,889","553,206","25,838,555","0.3%","112,589","118,454","60,409","44,453","74,208","38,510","11,148","101,334","211.8","6,422.63","""15""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Georgia","10,799,566","10,711,908","0.8%","10,711,908","9,687,653","6.2%","23.6%","14.3%","51.4%","60.2%","32.6%","0.5%","4.4%","0.1%","2.2%","9.9%","52.0%","625,251","10.2%","4,378,391","64.0%","$190,200","$1,449","$435","$1,042","55,827","3,830,264","2.68","85.5%","14.0%","92.0%","84.4%","87.9%","32.2%","8.9%","15.5%","62.7%","58.6%","18,976,611","51,800,643","155,836,792","119,801,495","$12,077","28.7","$61,224","$32,427","14.0%","239,034","4,040,559","212,578,382","1.6%","955,621","929,864","480,578","376,506","371,588","538,893","96,787","800,585","168.4","57,513.49","""13""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Florida","21,781,128","21,538,187","1.1%","21,538,187","18,801,310","5.3%","19.7%","20.9%","51.1%","77.3%","16.9%","0.5%","3.0%","0.1%","2.2%","26.4%","53.2%","1,416,472","20.8%","9,673,682","66.2%","$232,000","$1,539","$513","$1,218","164,074","7,931,313","2.62","84.9%","29.4%","93.1%","85.4%","88.5%","30.5%","8.7%","16.3%","58.6%","54.4%","49,817,925","124,061,425","96,924,106","273,867,145","$14,177","27.9","$57,703","$32,848","12.4%","574,512","8,860,042","426,908,310","2.2%","2,388,050","2,100,187","1,084,885","807,817","926,112","1,121,749","185,756","1,846,686","350.6","53,624.76","""12""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
